State,Marginal,Small,Semi-Medium,Medium,Large,All Holdings
Andhra Pradesh,2336409.71,2334051.98,2019756.63,1038253.92,275999.71,8004471.95
A & N Islands,2372.62,3737.81,7873.99,6128.93,1106.73,21220.07
Arunachal Pradesh,14356.78,30640.1,77432.38,153215.31,104294.92,379939.07
Assam,784971.32,696107.03,806250,410090.5,278835.7,2976254.56
Bihar,3727921.25,1178100.04,1075805.81,430508.89,44718.9,6457054.89
Chandigarh,209.58,192.16,231.19,248.48,31.85,913.25
Chhattisgarh,1025255.19,1222409.02,1301028.11,1016275.94,370183.53,4935151.8
D & N Haveli,4521.09,5143.57,5191.85,4322.51,1551.91,20730.93
Daman & Diu,1664.4,566.49,354.56,200.14,78.64,2864.22
Delhi,5207.65,7634.98,7266.99,6913.48,1951.71,28974.82
Goa,13090.62,7466.06,8309.6,8726.52,8008.53,45601.33
Gujarat,1073121.49,2338282.4,3172023.61,2804573.14,590206.71,9978207.34
Haryana,391856.35,459639.42,802030.09,1167627.96,787783.69,3608937.52
Himachal Pradesh,285355.96,242356.27,223441.61,146254.78,46973.33,944381.95
Jammu & Kashmir,397390.22,220672.2,153906.45,59446.93,10892.15,842307.96
Jharkhand,776743.65,587241.32,773077.18,745294.66,302578.98,3184935.77
Karnataka,2064943.77,3086441.35,3167366.64,2550533.42,854835.28,11724120
Kerala,856074.1,242336.53,141685.39,60007.62,94833.1,1394936.74
Lakshadweep,1713.28,339.61,328.51,168.93,140.2,2690.53
Madhya Pradesh,2372199.19,3835581.66,4521716.94,4008229.25,932509.62,15670236.65
Maharashtra,3502869.1,6081054.12,5608049.38,3653627.34,1037751,19883351.08
Manipur,40295.68,62773.84,55322.02,13357.23,432.42,172181.19
Meghalaya,55929.89,79595.89,108904.36,51413.49,4236.04,300079.67
Mizoram,27167,35063.65,31671.94,14908.92,3653.2,112464.71
Nagaland,4476.28,36073.15,167747.92,434966.51,354944.69,998211.55
Odisha,2056820.6,1404130.37,787866.83,284228.07,86242.66,4619288.52
Puducherry,8194.63,4913.97,4280.54,2693.03,782,20864.17
Punjab,93360.31,289659.35,983400.84,1729788.19,857229.91,3953438.61
Rajasthan,1482911.94,2388734.34,3988603.34,6898759.81,6114290,20873299.43
Sikkim,18229.06,17759.51,20408.67,13638.67,6261.45,76297.3
Tamil Nadu,2168705.74,1555481.71,1215345.19,714169.79,317027.89,5970730.32
Telangana,1705882.58,1976619.6,1467025.06,687712.73,134574.14,597184.11
Tripura,148777.52,70095.55,49196.28,12633.75,1082.06,281785.17
Uttarakhand,283394.22,4174659.29,3559517.75,2074622.78,343244.47,17450370.04
Uttar Pradesh,7298325.75,206252.53,155568.89,78833.81,23283.72,747333.16
West Bengal,2929448.2,1553445.58,700157.87,84268.39,21959.01,5486859.05
